State,City_Type,Store_Type,Store_Count,SKU_Count,Inventory_Management,Ordering_Method,Stockout_Frequency,Overstock_Frequency,Unsold_Inventory_Percentage,Supplier_Count,Supplier_Lead_Time,Top_Selling_Category,Demand_Driver,Peak_Season_Demand_Change,Combination_Purchase_Frequency,Common_Product_Combinations,Digital_Sales_Data_Years,Decision_Maker,AI_Comfort_Level,Most_Valuable_Feature,Monthly_Inventory_Purchase_Value,Monthly_Software_Budget,Adoption_Motivation,Adoption_Likelihood
Tamil Nadu,Tier 2 city,General Store / Kirana,1 store,500–2000,Manual notebook / paper records,Sales reports / historical data,Rarely,Rarely,Less than 5%,1–3 suppliers,1 week,FMCG / grocery items,Seasonal weather,Slight increase,Rarely,Rice + cooking oil,Less than 1 year,IT team,Not comfortable,Demand forecasting,₹10–50 lakh,₹7000–₹15000,Reduced stockouts,Unlikely
Gujarat,Tier 3 city / small town,Grocery / Supermarket,6–10 stores,500–2000,POS or billing software,Sales reports / historical data,Monthly,Never,20–30%,1–3 suppliers,Highly variable,FMCG / grocery items,Festivals,No change,Rarely,Rice + cooking oil,Less than 1 year,Store owner,Not comfortable,Supplier performance insights,₹1–5 lakh,₹3000–₹7000,Increased revenue,Maybe
Maharashtra,Tier 1 city,Beauty / Cosmetics,25+ stores,Less than 500,Excel / spreadsheets,Supplier recommendations,Rarely,Occasionally,5–10%,4–10 suppliers,3–5 days,Beauty / cosmetics,Festivals,Slight increase,Sometimes,Shampoo + conditioner,1–3 years,Store owner,Neutral,Promotion demand prediction,₹5–10 lakh,More than ₹15000,Reduced stockouts,Maybe
Tamil Nadu,Tier 2 city,Pharmacy / Medical Store,1 store,Less than 500,Manual notebook / paper records,Past experience / intuition,Rarely,Occasionally,20–30%,1–3 suppliers,1–2 days,Medicines / healthcare products,Promotions / discounts,Slight increase,Yes frequently,Medicines + health supplements,No digital data,Distributor recommendation,Very comfortable,Inventory alerts,Less than ₹1 lakh,₹3000–₹7000,Automated purchasing,Definitely not
Karnataka,Tier 3 city / small town,Pharmacy / Medical Store,2–5 stores,2000–5000,Excel / spreadsheets,Past experience / intuition,Monthly,Occasionally,5–10%,1–3 suppliers,Highly variable,Medicines / healthcare products,Regular repeat customers,Difficult to predict,Yes frequently,Medicines + health supplements,No digital data,Operations manager,Not comfortable,Inventory alerts,₹5–10 lakh,Less than ₹1000,Reduced stockouts,Likely
Telangana,Tier 1 city,Beauty / Cosmetics,25+ stores,500–2000,Manual notebook / paper records,Supplier recommendations,Weekly,Never,20–30%,4–10 suppliers,Highly variable,Beauty / cosmetics,Promotions / discounts,Difficult to predict,Sometimes,Shampoo + conditioner,More than 3 years,Head office / franchise owner,Very comfortable,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Reduced stockouts,Likely
Other,Tier 1 city,Grocery / Supermarket,1 store,Less than 500,Combination of multiple tools,Supplier recommendations,Weekly,Occasionally,5–10%,More than 20 suppliers,3–5 days,FMCG / grocery items,Seasonal weather,Slight increase,Yes frequently,Rice + cooking oil,1–3 years,Store owner,Very comfortable,Supplier performance insights,₹1–5 lakh,₹1000–₹3000,Reduced stockouts,Definitely not
Maharashtra,Tier 2 city,Apparel / Fashion,1 store,5000–10000,POS or billing software,Sales reports / historical data,Monthly,Very frequently,10–20%,10–20 suppliers,Highly variable,Apparel / clothing,Promotions / discounts,Difficult to predict,Yes frequently,Saree + blouse,More than 3 years,Operations manager,Not comfortable,Inventory alerts,₹5–10 lakh,₹7000–₹15000,Better supplier management,Definitely not
Telangana,Tier 3 city / small town,Grocery / Supermarket,11–25 stores,Less than 500,POS or billing software,Sales reports / historical data,Rarely,Occasionally,5–10%,4–10 suppliers,Same day,FMCG / grocery items,Regular repeat customers,Increases significantly,Rarely,Rice + cooking oil,More than 3 years,Operations manager,Neutral,Promotion demand prediction,More than ₹50 lakh,Less than ₹1000,Automated purchasing,Maybe
Rajasthan,Tier 3 city / small town,Apparel / Fashion,1 store,2000–5000,Combination of multiple tools,Past experience / intuition,Weekly,Never,Less than 5%,10–20 suppliers,3–5 days,Apparel / clothing,Promotions / discounts,Increases significantly,Yes frequently,Saree + blouse,1–3 years,Store owner,Somewhat comfortable,Supplier performance insights,More than ₹50 lakh,₹3000–₹7000,Automated purchasing,Maybe
Maharashtra,Tier 1 city,Pharmacy / Medical Store,1 store,500–2000,POS or billing software,Combination of methods,Monthly,Rarely,Less than 5%,10–20 suppliers,3–5 days,Medicines / healthcare products,Regular repeat customers,Slight increase,Rarely,Medicines + health supplements,More than 3 years,Store owner,Somewhat comfortable,Inventory alerts,₹1–5 lakh,₹3000–₹7000,Better supplier management,Unlikely
West Bengal,Tier 1 city,Beauty / Cosmetics,2–5 stores,500–2000,Excel / spreadsheets,Combination of methods,Rarely,Very frequently,5–10%,4–10 suppliers,1–2 days,Beauty / cosmetics,Regular repeat customers,Increases significantly,Yes frequently,Shampoo + conditioner,More than 3 years,Store owner,Not comfortable,Automatic reorder suggestions,₹5–10 lakh,₹7000–₹15000,Lower inventory cost,Maybe
Gujarat,Rural,Pharmacy / Medical Store,1 store,Less than 500,POS or billing software,Supplier recommendations,Almost never,Occasionally,Less than 5%,10–20 suppliers,1 week,Medicines / healthcare products,Promotions / discounts,No change,Rarely,Medicines + health supplements,Less than 1 year,Operations manager,Very comfortable,Supplier performance insights,₹1–5 lakh,₹7000–₹15000,Better supplier management,Maybe
West Bengal,Tier 1 city,General Store / Kirana,2–5 stores,2000–5000,Manual notebook / paper records,Past experience / intuition,Rarely,Never,5–10%,1–3 suppliers,1–2 days,FMCG / grocery items,Promotions / discounts,Slight increase,Sometimes,Rice + cooking oil,No digital data,Head office / franchise owner,Neutral,Promotion demand prediction,₹10–50 lakh,₹7000–₹15000,Lower inventory cost,Very likely
Delhi/NCR,Tier 1 city,Apparel / Fashion,2–5 stores,Less than 500,POS or billing software,Supplier recommendations,Rarely,Never,5–10%,10–20 suppliers,1 week,Apparel / clothing,Promotions / discounts,Slight increase,Yes frequently,Saree + blouse,Less than 1 year,Store owner,Not comfortable,Supplier performance insights,₹1–5 lakh,₹3000–₹7000,Increased revenue,Unlikely
Telangana,Tier 1 city,General Store / Kirana,1 store,Less than 500,Combination of multiple tools,Supplier recommendations,Weekly,Occasionally,5–10%,10–20 suppliers,1–2 days,FMCG / grocery items,Festivals,Difficult to predict,Yes frequently,Snacks + beverages,No digital data,Store owner,Somewhat comfortable,Promotion demand prediction,₹5–10 lakh,₹3000–₹7000,Increased revenue,Unlikely
Rajasthan,Tier 3 city / small town,Apparel / Fashion,2–5 stores,500–2000,Excel / spreadsheets,Past experience / intuition,Weekly,Occasionally,20–30%,1–3 suppliers,3–5 days,Apparel / clothing,Festivals,Slight increase,Yes frequently,Saree + blouse,Less than 1 year,Store owner,Neutral,Demand forecasting,₹1–5 lakh,₹7000–₹15000,Increased revenue,Unlikely
Maharashtra,Tier 2 city,General Store / Kirana,2–5 stores,500–2000,ERP or inventory management software,Supplier recommendations,Weekly,Rarely,20–30%,10–20 suppliers,1–2 days,FMCG / grocery items,Social media trends,Difficult to predict,Yes frequently,Snacks + beverages,1–3 years,Store owner,Somewhat comfortable,Supplier performance insights,₹1–5 lakh,₹3000–₹7000,Automated purchasing,Maybe
Other,Tier 1 city,Grocery / Supermarket,6–10 stores,500–2000,POS or billing software,Past experience / intuition,Almost never,Rarely,Less than 5%,4–10 suppliers,1–2 days,FMCG / grocery items,Seasonal weather,Slight increase,Sometimes,Rice + cooking oil,1–3 years,Store owner,Not comfortable,Supplier performance insights,Less than ₹1 lakh,₹1000–₹3000,Automated purchasing,Very likely
Maharashtra,Tier 2 city,Grocery / Supermarket,6–10 stores,More than 10000,Combination of multiple tools,Supplier recommendations,Daily,Rarely,5–10%,10–20 suppliers,Same day,FMCG / grocery items,Regular repeat customers,Increases significantly,Rarely,Rice + cooking oil,1–3 years,Store owner,Not comfortable,Automatic reorder suggestions,₹1–5 lakh,₹3000–₹7000,Better supplier management,Maybe
Delhi/NCR,Tier 1 city,Apparel / Fashion,6–10 stores,2000–5000,Excel / spreadsheets,Supplier recommendations,Weekly,Occasionally,Less than 5%,10–20 suppliers,3–5 days,Apparel / clothing,Social media trends,Slight increase,Yes frequently,Saree + blouse,1–3 years,Store owner,Very comfortable,Promotion demand prediction,₹5–10 lakh,₹3000–₹7000,Reduced stockouts,Definitely not
West Bengal,Tier 2 city,Electronics,6–10 stores,2000–5000,POS or billing software,Past experience / intuition,Monthly,Occasionally,5–10%,4–10 suppliers,Same day,Electronics,Festivals,Slight increase,Yes frequently,Other,More than 3 years,Head office / franchise owner,Very comfortable,Inventory alerts,More than ₹50 lakh,Less than ₹1000,Increased revenue,Very likely
Delhi/NCR,Tier 3 city / small town,Beauty / Cosmetics,1 store,More than 10000,POS or billing software,Supplier recommendations,Monthly,Rarely,20–30%,4–10 suppliers,Same day,Beauty / cosmetics,Regular repeat customers,Difficult to predict,Rarely,Shampoo + conditioner,More than 3 years,Store owner,Somewhat comfortable,Promotion demand prediction,Less than ₹1 lakh,₹1000–₹3000,Reduced stockouts,Likely
Gujarat,Tier 3 city / small town,Apparel / Fashion,6–10 stores,5000–10000,Excel / spreadsheets,Supplier recommendations,Weekly,Rarely,10–20%,4–10 suppliers,1–2 days,Apparel / clothing,Regular repeat customers,Difficult to predict,Sometimes,Saree + blouse,No digital data,Store owner,Very comfortable,Promotion demand prediction,₹5–10 lakh,₹3000–₹7000,Automated purchasing,Maybe
Other,Tier 1 city,Grocery / Supermarket,6–10 stores,500–2000,Excel / spreadsheets,Past experience / intuition,Weekly,Rarely,10–20%,4–10 suppliers,1 week,FMCG / grocery items,Seasonal weather,Slight increase,Yes frequently,Rice + cooking oil,Less than 1 year,Store owner,Somewhat comfortable,Supplier performance insights,₹10–50 lakh,₹1000–₹3000,Lower inventory cost,Maybe
Tamil Nadu,Tier 3 city / small town,Pharmacy / Medical Store,2–5 stores,Less than 500,POS or billing software,Past experience / intuition,Rarely,Rarely,Less than 5%,4–10 suppliers,1–2 days,Medicines / healthcare products,Regular repeat customers,Difficult to predict,Yes frequently,Other,No digital data,Head office / franchise owner,Somewhat comfortable,Promotion demand prediction,₹10–50 lakh,₹3000–₹7000,Lower inventory cost,Likely
Maharashtra,Tier 2 city,Grocery / Supermarket,11–25 stores,500–2000,Excel / spreadsheets,Past experience / intuition,Monthly,Rarely,Less than 5%,4–10 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Difficult to predict,Yes frequently,Other,More than 3 years,Store owner,Not comfortable,Demand forecasting,Less than ₹1 lakh,₹1000–₹3000,Better supplier management,Maybe
Maharashtra,Tier 1 city,Grocery / Supermarket,2–5 stores,5000–10000,Combination of multiple tools,Combination of methods,Monthly,Occasionally,Less than 5%,10–20 suppliers,1 week,FMCG / grocery items,Social media trends,Slight increase,Sometimes,Rice + cooking oil,1–3 years,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,₹3000–₹7000,Reduced stockouts,Very likely
Gujarat,Rural,Grocery / Supermarket,1 store,Less than 500,ERP or inventory management software,Past experience / intuition,Almost never,Rarely,Less than 5%,10–20 suppliers,1 week,FMCG / grocery items,Promotions / discounts,Increases significantly,Sometimes,Other,1–3 years,IT team,Not comfortable,Automatic reorder suggestions,₹10–50 lakh,₹7000–₹15000,Reduced stockouts,Very likely
Karnataka,Tier 1 city,Other,6–10 stores,500–2000,Manual notebook / paper records,Combination of methods,Almost never,Rarely,5–10%,1–3 suppliers,3–5 days,Electronics,Regular repeat customers,Increases significantly,Yes frequently,Other,More than 3 years,Operations manager,Somewhat comfortable,Supplier performance insights,More than ₹50 lakh,₹7000–₹15000,Increased revenue,Unlikely
Rajasthan,Rural,Pharmacy / Medical Store,1 store,Less than 500,POS or billing software,Past experience / intuition,Rarely,Rarely,5–10%,10–20 suppliers,3–5 days,Medicines / healthcare products,Regular repeat customers,Difficult to predict,Rarely,Other,More than 3 years,IT team,Somewhat comfortable,Automatic reorder suggestions,₹5–10 lakh,Less than ₹1000,Increased revenue,Likely
Karnataka,Tier 1 city,General Store / Kirana,2–5 stores,5000–10000,Excel / spreadsheets,Combination of methods,Rarely,Occasionally,5–10%,10–20 suppliers,1 week,FMCG / grocery items,Festivals,Slight increase,Yes frequently,Rice + cooking oil,1–3 years,Store owner,Somewhat comfortable,Automatic reorder suggestions,₹1–5 lakh,₹1000–₹3000,Increased revenue,Maybe
Rajasthan,Tier 3 city / small town,Grocery / Supermarket,1 store,2000–5000,ERP or inventory management software,Combination of methods,Daily,Occasionally,20–30%,10–20 suppliers,3–5 days,FMCG / grocery items,Promotions / discounts,Difficult to predict,Sometimes,Snacks + beverages,More than 3 years,Head office / franchise owner,Not comfortable,Automatic reorder suggestions,₹1–5 lakh,₹3000–₹7000,Better supplier management,Unlikely
Maharashtra,Tier 2 city,Pharmacy / Medical Store,1 store,Less than 500,Excel / spreadsheets,Sales reports / historical data,Rarely,Rarely,20–30%,1–3 suppliers,1–2 days,Medicines / healthcare products,Promotions / discounts,Difficult to predict,Sometimes,Medicines + health supplements,More than 3 years,Store owner,Somewhat comfortable,Promotion demand prediction,₹10–50 lakh,₹3000–₹7000,Better supplier management,Unlikely
Tamil Nadu,Tier 2 city,Grocery / Supermarket,1 store,500–2000,Excel / spreadsheets,Combination of methods,Weekly,Rarely,Less than 5%,1–3 suppliers,3–5 days,FMCG / grocery items,Festivals,Slight increase,Yes frequently,Rice + cooking oil,More than 3 years,Head office / franchise owner,Not comfortable,Supplier performance insights,Less than ₹1 lakh,₹1000–₹3000,Increased revenue,Very likely
Gujarat,Tier 3 city / small town,Grocery / Supermarket,1 store,Less than 500,Combination of multiple tools,Past experience / intuition,Rarely,Occasionally,More than 30%,10–20 suppliers,1–2 days,FMCG / grocery items,Regular repeat customers,Increases significantly,Rarely,Rice + cooking oil,More than 3 years,Store owner,Somewhat comfortable,Inventory alerts,Less than ₹1 lakh,Less than ₹1000,Increased revenue,Unlikely
Karnataka,Tier 3 city / small town,Apparel / Fashion,25+ stores,5000–10000,Combination of multiple tools,Combination of methods,Monthly,Occasionally,10–20%,1–3 suppliers,3–5 days,Apparel / clothing,Promotions / discounts,No change,Sometimes,Saree + blouse,Less than 1 year,IT team,Neutral,Automatic reorder suggestions,₹1–5 lakh,More than ₹15000,Lower inventory cost,Maybe
Karnataka,Tier 1 city,Grocery / Supermarket,6–10 stores,Less than 500,Excel / spreadsheets,Past experience / intuition,Weekly,Occasionally,10–20%,10–20 suppliers,1 week,FMCG / grocery items,Regular repeat customers,Difficult to predict,Yes frequently,Rice + cooking oil,No digital data,Operations manager,Somewhat comfortable,Inventory alerts,₹5–10 lakh,Less than ₹1000,Increased revenue,Maybe
Maharashtra,Tier 2 city,Other,1 store,500–2000,Combination of multiple tools,Combination of methods,Weekly,Very frequently,20–30%,4–10 suppliers,1 week,Electronics,Seasonal weather,Increases significantly,Yes frequently,Other,No digital data,Store owner,Not comfortable,Demand forecasting,₹1–5 lakh,More than ₹15000,Automated purchasing,Maybe
